Address,Cost,Property Type,Bedrooms,Bathrooms,Latitude,Longitude,Closest Gov Secondary School,Gov Secondary Distance,Age under 20,Age 20-39,Age 40-59,Age 60+,Postcode
"3/653 Park Street, Brunswick VIC 3056",$500.00,Apartment,1,1,-37.77839040000001,144.9649864,Princes Hill Secondary College,0.6 km away,14%,52%,23%,10%,3056
"2/96 Glenlyon Road, Brunswick VIC 3056",$440,Apartment,1,1,-37.7723257,144.9670307,Brunswick Secondary College,0.9 km away,19%,33%,32%,17%,3056
"614/601 Sydney Road, Brunswick VIC 3056",$470,Apartment,1,1,-37.763007,144.9626128,Brunswick Secondary College,1 km away,7%,69%,21%,3%,3056
"2/21 Cohuna Street, Brunswick VIC 3056",$350pw/$1521pcm,Apartment,1,1,-37.7670402,144.9621239,Brunswick Secondary College,0.7 km away,8%,47%,36%,8%,3056
"112/10-14 Hope Street, Brunswick VIC 3056",$440 per week,Apartment,1,1,-37.7639659,144.9616138,Brunswick Secondary College,0.9 km away,7%,69%,21%,3%,3056
"108/10-14 Hope Street, Brunswick VIC 3056",$475,Apartment,1,1,-37.764073,144.961478,Brunswick Secondary College,0.9 km away,7%,69%,21%,3%,3056
"17/6 Garnet, Brunswick VIC 3056",$350 per week,Apartment,1,1,-37.7578815,144.9533343,Brunswick Secondary College,1.5 km away,25%,36%,31%,8%,3056
"501/6 Saxon Street, Brunswick VIC 3056",$610 per week,Apartment,1,1,-37.7724098,144.9610018,Brunswick Secondary College,0.4 km away,12%,62%,24%,2%,3056
"501/8-10 Duckett Street, Brunswick VIC 3056",$450pw / $1955pcm,Apartment,1,1,-37.7631086,144.9606823,Brunswick Secondary College,0.9 km away,7%,69%,21%,3%,3056
"M01/288 Albert Street, Brunswick VIC 3056",$495.00,Apartment,1,1,-37.7688704,144.9606617,Brunswick Secondary College,0.4 km away,9%,65%,20%,7%,3056
"4/677 Park Street, Brunswick VIC 3056",$250 pw,Apartment,1,1,-37.778235,144.96328,Princes Hill Secondary College,0.6 km away,14%,52%,23%,10%,3056
"G04/6 Hope Street, Brunswick VIC 3056",$390pw/$1695pcm,Apartment,1,1,-37.7640105,144.9618543,Brunswick Secondary College,0.9 km away,7%,69%,21%,3%,3056
"671 Park Street, Brunswick VIC 3056",$320,Apartment,1,1,-37.7781328,144.9637751,Princes Hill Secondary College,0.6 km away,14%,52%,23%,10%,3056
"104/6 Hope Street, Brunswick VIC 3056",$395 Weekly,Apartment,1,1,-37.7640105,144.9618543,Brunswick Secondary College,0.9 km away,7%,69%,21%,3%,3056
"7/170 Albion Street, Brunswick VIC 3056",Lease Agreement Signed,Apartment,1,1,-37.7613652,144.966236,Brunswick Secondary College,1.4 km away,20%,42%,23%,15%,3056
"10/97 Brickworks Drive, Brunswick VIC 3056",$450.00,Apartment,1,1,-37.7695115,144.9528162,Brunswick Secondary College,0.4 km away,10%,61%,25%,3%,3056
"401/272 Barkly St, Brunswick VIC 3056",$720 weekly,Apartment,2,2,-37.7763522,144.9614574,Brunswick Secondary College,0.7 km away,14%,52%,23%,10%,3056
"3/478 Sydney Road, Brunswick VIC 3056",$550.00,Apartment,2,1,-37.7667531,144.9623983,Brunswick Secondary College,0.7 km away,18%,40%,30%,12%,3056
"506/812 Sydney Road, Brunswick VIC 3056",$650 Per Week,Apartment,2,2,-37.757901,144.9639172,Brunswick Secondary College,1.6 km away,9%,64%,20%,7%,3056
"214/408 Lygon Street, Brunswick VIC 3056",$640 per week,Apartment,2,2,-37.7708709,144.9718188,Brunswick Secondary College,1.3 km away,12%,54%,23%,10%,3056
"9/228 Barkly Street, Brunswick VIC 3056",$430.00,Apartment,2,1,-37.7766208,144.9639439,Princes Hill Secondary College,0.8 km away,14%,52%,23%,10%,3056
"107/108-124 Union Street, Brunswick VIC 3056",$590,Apartment,2,1,-37.77319689999999,144.9537359,Brunswick Secondary College,0.3 km away,10%,65%,19%,6%,3056
"202/8 Hope St, Brunswick VIC 3056",$620 weekly,Apartment,2,2,-37.7639112,144.9617403,Brunswick Secondary College,0.9 km away,7%,69%,21%,3%,3056
"118/812 Sydney Road, Brunswick VIC 3056",$650,Apartment,2,1,-37.757901,144.9639172,Brunswick Secondary College,1.6 km away,9%,64%,20%,7%,3056
"1/17 Sydney Road, Brunswick VIC 3056",$570.00 per week,Apartment,2,1,-37.7771577,144.9599065,Brunswick Secondary College,0.7 km away,9%,54%,25%,12%,3056
"3/17 Sydney Road, Brunswick VIC 3056",$570.00 per week,Apartment,2,1,-37.7771709,144.9599006,Brunswick Secondary College,0.7 km away,9%,54%,25%,12%,3056
"11/815 Park Street, Brunswick VIC 3056",$580pw /$2520pcm,Apartment,2,1,-37.7769501,144.9527856,Brunswick Secondary College,0.7 km away,9%,54%,27%,10%,3056
"30 Barningham Street, Brunswick VIC 3056",$530pw / $2303pcm,Apartment,2,1,-37.7661624,144.9638617,Brunswick Secondary College,0.8 km away,18%,40%,30%,12%,3056
"607/611 Sydney Road, Brunswick VIC 3056",$550.00,Apartment,2,1,-37.7627484,144.9627144,Brunswick Secondary College,1.1 km away,7%,69%,21%,3%,3056
"504/4 Breese Street, Brunswick VIC 3056",$625,Apartment,2,1,-37.7635717,144.9615483,Brunswick Secondary College,0.9 km away,7%,69%,21%,3%,3056
"2/27 Stewart Street, Brunswick VIC 3056",$530 Weekly,Apartment,2,1,-37.7636438,144.9660479,Brunswick Secondary College,1.2 km away,20%,42%,23%,15%,3056
"103/148 Brunswick Road, Brunswick VIC 3056",$540,Apartment,2,1,-37.7776156,144.9634197,Princes Hill Secondary College,0.7 km away,14%,52%,23%,10%,3056
"B304/460 Victoria Street, Brunswick VIC 3056",$550,Apartment,2,1,-37.7657676,144.9503239,Brunswick Secondary College,0.8 km away,10%,61%,25%,3%,3056
"401/3-5 Union Street, Brunswick VIC 3056",$670.00,Apartment,2,2,-37.7743151,144.9600991,Brunswick Secondary College,0.5 km away,13%,40%,24%,23%,3056
"504/623 Sydney Road, Brunswick VIC 3056",$620.00,Apartment,2,2,-37.7625526,144.9624527,Brunswick Secondary College,1.1 km away,7%,69%,21%,3%,3056
"303/8-38 Percy Street, Brunswick VIC 3056",$630pw / $2738pcm,Apartment,2,2,-37.7654267,144.9590325,Brunswick Secondary College,0.7 km away,3%,52%,16%,29%,3056
"7/66 De Carle Street, Brunswick VIC 3056",$690 PW / $2998 PCM,Apartment,3,1,-37.759813,144.9654721,Brunswick Secondary College,1.5 km away,21%,38%,26%,15%,3056
"42 Sutherland Street, Brunswick VIC 3056",$850 per week,Apartment,3,1,-37.7608219,144.9553114,Brunswick Secondary College,1.1 km away,23%,34%,26%,17%,3056
"403/32 Breese Street, Brunswick VIC 3056","Fully Furnished Apartment $1,500 P/W - Booked Until Dec 2024",Apartment,3,2,-37.7622052,144.9617525,Brunswick Secondary College,1.1 km away,7%,69%,21%,3%,3056
"98 De carle Street, Brunswick VIC 3056",$680 PER WEEK,House,2,1,-37.7559752,144.9661001,Coburg High School,1.8 km away,15%,47%,25%,13%,3056
"20 Lyle Street, Brunswick VIC 3056",$610pw / $2651pcm,House,2,1,-37.7648203,144.9580445,Brunswick Secondary College,0.7 km away,17%,39%,32%,12%,3056
"186 Barkly Street, Brunswick VIC 3056",$760 Per Week,House,2,1,-37.7769516,144.9662295,Princes Hill Secondary College,0.7 km away,14%,52%,23%,10%,3056
"75 Hope Street, Brunswick VIC 3056",$795 PW / $3454 PCM,House,2,1,-37.763736,144.956688,Brunswick Secondary College,0.8 km away,17%,39%,32%,12%,3056
"5/28 Cassels Road, Brunswick VIC 3056",$500.00 per week,House,2,1,-37.75757,144.9601685,Brunswick Secondary College,1.5 km away,15%,47%,25%,14%,3056
"178 Barkly Street, Brunswick VIC 3056",$875pw / $3802pcm,House,3,1,-37.7769298,144.9665482,Princes Hill Secondary College,0.7 km away,14%,52%,23%,10%,3056
"25 Canberra St, Brunswick VIC 3056",$830 weekly,House,3,1,-37.7574978,144.9556263,Brunswick Secondary College,1.5 km away,20%,29%,29%,22%,3056
"49 Luscombe Street, Brunswick VIC 3056",$630.00,House,3,1,-37.7764286,144.9699819,Princes Hill Secondary College,0.9 km away,17%,46%,25%,11%,3056
"23A Stewart Street, Brunswick VIC 3056",$780,House,3,1,-37.7635043,144.9655099,Brunswick Secondary College,1.1 km away,20%,42%,23%,15%,3056
"18 Mountfield Street, Brunswick VIC 3056",$850.00 per week,House,3,1,-37.7632038,144.967949,Brunswick Secondary College,1.3 km away,17%,32%,31%,20%,3056
"92 Barrow Street, Brunswick VIC 3056",UNDER APPLICATION,House,3,1,-37.7584519,144.9702508,Brunswick Secondary College,1.8 km away,17%,48%,22%,13%,3056
"74 Mitchell Street, Brunswick VIC 3056",$950 PW / $4128 PCM,House,3,1,-37.7594564,144.9696408,Brunswick Secondary College,1.7 km away,21%,38%,26%,15%,3056
"39 Gold Street, Brunswick VIC 3056",$980 per week pw,House,3,1,-37.7746568,144.9577324,Brunswick Secondary College,0.4 km away,13%,40%,24%,23%,3056
"9 Hennessy Street, Brunswick VIC 3056",$850 Weekly,House,3,2,-37.7721941,144.9511661,Brunswick Secondary College,0.5 km away,18%,36%,28%,18%,3056
"27 Macfarland Street, Brunswick VIC 3056",$750PW $3259PCM,House,3,1,-37.7611095,144.9580037,Brunswick Secondary College,1.1 km away,25%,32%,26%,17%,3056
"123 Hope Street, Brunswick VIC 3056",$645.00,House,3,1,-37.7633763,144.9534508,Brunswick Secondary College,0.9 km away,19%,48%,22%,11%,3056
"31 Rose Street, Brunswick VIC 3056",$870 Per Week,House,4,1,-37.7576469,144.9520729,Brunswick Secondary College,1.5 km away,21%,27%,34%,19%,3056
"4/20 Wardens Walk, Coburg VIC 3058",$500 Per Week / $2173 Per Month,Apartment,1,1,-37.7385722,144.968578,Coburg High School,0.4 km away,13%,58%,24%,4%,3058
"309/11 Urquhart Street, Coburg VIC 3058",$470 Per Week,Apartment,1,1,-37.7401271,144.9679793,Coburg High School,0.4 km away,13%,58%,24%,4%,3058
"103/56 Stockade Avenue, Coburg VIC 3058",$460 PER WEEK,Apartment,1,1,-37.7389869,144.9688669,Coburg High School,0.4 km away,13%,58%,24%,4%,3058
"3/56 Stockade Avenue, Coburg VIC 3058",$480 per week,Apartment,1,1,-37.7389869,144.9688669,Coburg High School,0.4 km away,13%,58%,24%,4%,3058
"102/56 Stockade Avenue, Coburg VIC 3058",$460 PER WEEK,Apartment,1,1,-37.7389869,144.9688669,Coburg High School,0.4 km away,13%,58%,24%,4%,3058
"1005/16 Pentridge Boulevard, Coburg VIC 3058",$490 Per Week,Apartment,1,1,-37.7384534,144.9694507,Coburg High School,0.4 km away,13%,58%,24%,4%,3058
"1105/20 Wardens Walk, Coburg VIC 3058",$500 per week,Apartment,1,1,-37.7385722,144.968578,Coburg High School,0.4 km away,13%,58%,24%,4%,3058
"207/16 Pentridge Boulevard, Coburg VIC 3058",$490 per week,Apartment,1,1,-37.7384534,144.9694507,Coburg High School,0.4 km away,13%,58%,24%,4%,3058
"789 Sydney Road, Coburg VIC 3058",$280,Apartment,1,1,-37.7317119,144.96398,Coburg High School,1.3 km away,13%,45%,25%,17%,3058
"1405A/21 Pentridge Boulevard, Coburg VIC 3058",$565 pw / $2455 pcm,Apartment,2,2,-37.7379634,144.9696143,Coburg High School,0.4 km away,13%,58%,24%,4%,3058
"4/25 Liverpool St, Coburg VIC 3058",$500 weekly,Apartment,2,1,-37.7455878,144.9519834,Coburg High School,1.9 km away,24%,26%,28%,22%,3058
"301a/41-43 Stockade Avenue, Coburg VIC 3058",$550 pw,Apartment,2,2,-37.739001,144.9695893,Coburg High School,0.3 km away,13%,58%,24%,4%,3058
"908/16 Pentridge Blvd, Coburg VIC 3058",$640 weekly,Apartment,2,2,-37.7384534,144.9694507,Coburg High School,0.4 km away,13%,58%,24%,4%,3058
Coburg VIC 3058,$600 per week,Apartment,2,1,-37.7532661,144.9478942,Brunswick Secondary College,2.1 km away,28%,22%,33%,17%,3058
"112/146 Bell Street, Coburg VIC 3058",$550 Per Week,Apartment,2,2,-37.7408239,144.9632424,Coburg High School,0.8 km away,15%,28%,20%,37%,3058
"1308/16 Pentridge Boulevard, Coburg VIC 3058",$640 per week,Apartment,2,2,-37.7384534,144.9694507,Coburg High School,0.4 km away,13%,58%,24%,4%,3058
"6/56 Stockade Avenue, Coburg VIC 3058",$660,Apartment,2,2,-37.7389869,144.9688669,Coburg High School,0.4 km away,13%,58%,24%,4%,3058
"1104/16 Pentridge Boulevard, Coburg VIC 3058",$640 per week,Apartment,2,2,-37.7384534,144.9694507,Coburg High School,0.4 km away,13%,58%,24%,4%,3058
"1007/16 Pentridge Boulevard, Coburg VIC 3058",$640 per week,Apartment,2,2,-37.7384534,144.9694507,Coburg High School,0.4 km away,13%,58%,24%,4%,3058
"206/16 Pentridge Boulevard, Coburg VIC 3058",$630 PER WEEK,Apartment,2,2,-37.7384534,144.9694507,Coburg High School,0.4 km away,13%,58%,24%,4%,3058
"709/16 Pentridge Boulevard, Coburg VIC 3058",$640 per week,Apartment,2,2,-37.7384534,144.9694507,Coburg High School,0.4 km away,13%,58%,24%,4%,3058
"7/2-6 Moore Street, Coburg VIC 3058",$480 per week / $2086 per month,Apartment,2,1,-37.753927,144.965196,Coburg High School,1.6 km away,21%,41%,27%,11%,3058
"2/21 Nicholson Street, Coburg VIC 3058",$590 Per Week,Apartment,2,1,-37.7555567,144.9750546,Coburg High School,1.7 km away,19%,36%,27%,19%,3058
"G06B/9S Wardens Walk, Coburg VIC 3058",$650 per week,Apartment,2,2,-37.7385969,144.9687556,Coburg High School,0.4 km away,13%,58%,24%,4%,3058
"708/16 Wardens Walk, Coburg VIC 3058",$650 per week,Apartment,2,2,-37.7385722,144.968578,Coburg High School,0.4 km away,13%,58%,24%,4%,3058
"1/1 Lorensen Avenue, Coburg North VIC 3058",$650.00 Per Week,Apartment,3,2,-37.7232347,144.9605772,Coburg High School,2.2 km away,24%,32%,28%,17%,3058
"45 Queen Street, Coburg VIC 3058",$510.00 Per Week,House,2,1,-37.7505359,144.9498585,Coburg High School,2.3 km away,24%,29%,32%,15%,3058
"2A Shaw Court, Coburg North VIC 3058",$580,House,2,2,-37.7188897,144.9528905,Pascoe Vale Girls Secondary College,1.5 km away,31%,26%,28%,15%,3058
"7 Mehegan Avenue, Coburg North VIC 3058",UNDER APPLICATION,House,2,1,-37.7351941,144.9814064,Coburg High School,1 km away,27%,22%,32%,19%,3058
"26 Alice Street, Coburg VIC 3058",$580 PW/$2520 PCM,House,2,1,-37.7417927,144.9575878,Coburg High School,1.3 km away,28%,31%,22%,19%,3058
"3/80 Munro Street, Coburg VIC 3058",$545 Per Week,House,2,1,-37.7441848,144.9591251,Coburg High School,1.3 km away,19%,31%,21%,28%,3058
"4 McCrory St, Coburg VIC 3058",$620 weekly,House,2,1,-37.7458983,144.9672611,Coburg High School,0.7 km away,18%,37%,25%,20%,3058
"40 Higinbotham Street, Coburg VIC 3058",$700,House,3,1,-37.7343572,144.9586654,Coburg High School,1.4 km away,25%,30%,29%,16%,3058
"759 Sydney Road, Coburg North VIC 3058",$615 Per Week,House,3,1,-37.7331256,144.9646469,Coburg High School,1.1 km away,13%,45%,25%,17%,3058
"25A White St, Coburg VIC 3058",$700 weekly,House,3,1,-37.7502264,144.9597967,Coburg High School,1.6 km away,26%,26%,30%,19%,3058
"2 Rogers Street, Coburg VIC 3058",$875 Per Week,House,3,2,-37.7358128,144.9646875,Coburg High School,0.9 km away,21%,29%,30%,20%,3058
"48 Berry Street, Coburg VIC 3058",$775.00 Per Week,House,3,1,-37.746019,144.9581291,Coburg High School,1.4 km away,28%,28%,28%,16%,3058
"38 Sutherland Street, Coburg VIC 3058",$820pw / $3563.00pcm,House,3,1,-37.7375864,144.9615371,Coburg High School,1.1 km away,27%,24%,32%,16%,3058
"37 Walsh St, Coburg VIC 3058",$695 weekly,House,3,1,-37.7479207,144.9686919,Coburg High School,0.9 km away,18%,37%,25%,20%,3058
"74 Marks Street, Coburg VIC 3058",$620.00 Per Week,House,3,1,-37.748832,144.9570977,Coburg High School,1.6 km away,27%,29%,28%,16%,3058
"73 Reynard Street, Coburg VIC 3058",$850.00,House,3,2,-37.7481813,144.9584733,Coburg High School,1.5 km away,27%,29%,28%,16%,3058
"375A Moreland Road, Coburg VIC 3058",$700 per week,House,3,1,-37.7535287,144.9493074,Brunswick Secondary College,2 km away,24%,29%,32%,15%,3058
"99 Phillips Street, Coburg VIC 3058",$675,House,3,1,-37.7443845,144.9546992,Coburg High School,1.6 km away,24%,26%,28%,22%,3058
"2 Miller Street, Coburg VIC 3058",$690.00 per week,House,3,2,-37.7502206,144.9695448,Coburg High School,1.1 km away,26%,29%,28%,17%,3058
"10 Goleen Street, Coburg North VIC 3058",$600 Per Week,House,3,1,-37.7266722,144.9670562,Coburg High School,1.6 km away,28%,27%,25%,19%,3058
"9 Mcdonnell Road, Coburg North VIC 3058",$750,House,3,1,-37.7270281,144.9687796,Coburg High School,1.6 km away,25%,21%,31%,22%,3058
"47 Galeka Street, Coburg North VIC 3058",$670,House,4,2,-37.7193039,144.9571224,Pascoe Vale Girls Secondary College,1.9 km away,23%,27%,29%,21%,3058
"60 Donne Street, Coburg VIC 3058",$950 Per Week,House,4,2,-37.7484561,144.9497622,Coburg High School,2.2 km away,28%,30%,26%,16%,3058
"25 Gaffney Street, Coburg VIC 3058",$750,House,4,1,-37.73411979999999,144.9644551,Coburg High School,1 km away,21%,29%,30%,20%,3058
"A210/23-35 Cumberland Road, Pascoe Vale South VIC 3044",$450 per week,Apartment,1,1,-37.7348423,144.9373579,Strathmore Secondary College,1 km away,20%,28%,21%,31%,3044
"16/14 Caringa Street, Pascoe Vale VIC 3044",$350 Per Week,Apartment,1,1,-37.7164699,144.9519703,Pascoe Vale Girls Secondary College,1.5 km away,26%,37%,24%,13%,3044
"3/26 Northumberland Rd, Pascoe Vale VIC 3044",$520.00,Apartment,2,2,-37.7285763,144.9320956,Strathmore Secondary College,1 km away,23%,36%,27%,13%,3044
"1/33 Hazel Grove, Pascoe Vale VIC 3044",$420 pw / $1825 pcm,Apartment,2,1,-37.7272026,144.9402576,Pascoe Vale Girls Secondary College,1.1 km away,23%,35%,27%,16%,3044
"1/37-39 Westgate Street, Pascoe Vale VIC 3044",$500 pw,Apartment,2,1,-37.7370777,144.9368129,Strathmore Secondary College,0.9 km away,20%,28%,21%,31%,3044
"14A Joffre Road, Pascoe Vale VIC 3044",$500.00,Apartment,2,1,-37.7185126,144.9398816,Pascoe Vale Girls Secondary College,0.4 km away,22%,39%,26%,14%,3044
"1/41 Danin Street, Pascoe Vale VIC 3044","500pw / $2,173 pcm",Apartment,2,1,-37.723244,144.92891,Pascoe Vale Girls Secondary College,0.8 km away,21%,42%,26%,12%,3044
"5/3 Mitchell Parade, Pascoe Vale South VIC 3044",$520.00 per week,Apartment,2,1,-37.7448318,144.9352294,Strathmore Secondary College,1.2 km away,26%,28%,30%,16%,3044
"2/21-23 Westgate Street, Pascoe Vale South VIC 3044",$550,Apartment,2,2,-37.7377878,144.9420475,Strathmore Secondary College,1.4 km away,18%,34%,26%,22%,3044
"3/83 Essex Street, Pascoe Vale VIC 3044",$510 per week,Apartment,2,1,-37.7271624,144.9410147,Pascoe Vale Girls Secondary College,1.2 km away,23%,35%,27%,16%,3044
"2/26 Snell Grove, Pascoe Vale VIC 3044",$450 Per Week,Apartment,2,1,-37.7182618,144.9319507,Pascoe Vale Girls Secondary College,0.3 km away,22%,37%,28%,13%,3044
"12/121-125 Northumberland road, Pascoe Vale VIC 3044",$508 per week,Apartment,2,1,-37.718851,144.932961,Pascoe Vale Girls Secondary College,0.3 km away,22%,37%,28%,13%,3044
"8/14 Pascoe Street, Pascoe Vale VIC 3044",$380 Weekly,Apartment,2,1,-37.7153776,144.9348075,Pascoe Vale Girls Secondary College,0.3 km away,21%,44%,21%,14%,3044
"5/93 Northumberland Road, Pascoe Vale VIC 3044",$560 per week,Apartment,3,2,-37.7217362,144.9318954,Pascoe Vale Girls Secondary College,0.5 km away,22%,30%,29%,18%,3044
"1/20 Railway Parade, Pascoe Vale VIC 3044",$650.00,Apartment,3,1,-37.7288423,144.9280828,Strathmore Secondary College,0.9 km away,23%,36%,27%,13%,3044
"A/13 Parker Street, Pascoe Vale VIC 3044",$550 per week,Apartment,3,1,-37.7320783,144.9275691,Strathmore Secondary College,0.5 km away,21%,28%,23%,28%,3044
"2/53 Landells Road, Pascoe Vale VIC 3044",$650.00,Apartment,3,1,-37.7276018,144.9424418,Pascoe Vale Girls Secondary College,1.3 km away,23%,35%,27%,16%,3044
"2/26 Northumberland Rd, Pascoe Vale VIC 3044",$570.00,House,2,2,-37.7285852,144.9319182,Strathmore Secondary College,1 km away,23%,36%,27%,13%,3044
"204D/23 Cumberland Rd, Pascoe Vale South VIC 3044",$500.00,House,2,2,-37.7349987,144.9375806,Strathmore Secondary College,1 km away,20%,28%,21%,31%,3044
"17 Princes Terrace, Pascoe Vale South VIC 3044",$595 pw / $2585 pcm,House,2,1,-37.7437089,144.943122,Strathmore Secondary College,1.6 km away,25%,28%,32%,15%,3044
"5 Casuarina Court, Pascoe Vale VIC 3044",$450.00,House,2,1,-37.7159616,144.9440468,Pascoe Vale Girls Secondary College,0.8 km away,7%,12%,14%,67%,3044
"43 Westgate Street, Pascoe Vale South VIC 3044",$500.00,House,3,1,-37.7370169,144.9362994,Strathmore Secondary College,0.9 km away,20%,28%,21%,31%,3044
"9 Kirbister Street Street, Pascoe Vale VIC 3044",$600.00,House,3,1,-37.7312608,144.9469006,Pascoe Vale Girls Secondary College,1.8 km away,26%,26%,27%,21%,3044
"308 Gaffney Street, Pascoe Vale VIC 3044",$600pw / $2607pcm,House,3,1,-37.7317757,144.9433297,Strathmore Secondary College,1.6 km away,29%,22%,26%,24%,3044
"16A Eastgate Street, Pascoe Vale VIC 3044",$510.00,House,3,1,-37.7362999,144.9427063,Strathmore Secondary College,1.4 km away,18%,34%,26%,22%,3044
"9 Rose Street, Pascoe Vale VIC 3044",$510 weekly,House,3,1,-37.7163684,144.9425641,Pascoe Vale Girls Secondary College,0.6 km away,7%,12%,14%,67%,3044
"45 Grundy Grove, Pascoe Vale South VIC 3044",$700.00,House,3,1,-37.7520167,144.9397117,Strathmore Secondary College,2 km away,33%,17%,31%,19%,3044
"77 Balmoral Avenue, Pascoe Vale South VIC 3044",$795 per week,House,3,2,-37.74054410000001,144.9408872,Strathmore Secondary College,1.3 km away,30%,19%,30%,21%,3044
"210 Boundary Road, Pascoe Vale VIC 3044",$650pw / $2824pcm,House,3,1,-37.7167344,144.9415466,Pascoe Vale Girls Secondary College,0.6 km away,21%,44%,21%,14%,3044
"12 Camdon Street, Pascoe Vale VIC 3044",$900 PER WEEK,House,4,3,-37.7298137,144.9340463,Strathmore Secondary College,1 km away,32%,21%,32%,15%,3044
"29 Louisville Avenue, Pascoe Vale South VIC 3044",$850.00,House,4,2,-37.7505073,144.9382663,Strathmore Secondary College,1.8 km away,33%,17%,31%,19%,3044
"244 Boundary Road, Pascoe Vale VIC 3044",$650,House,4,2,-37.716189,144.9374632,Pascoe Vale Girls Secondary College,0.2 km away,21%,44%,21%,14%,3044
"234 Melville Road, Pascoe Vale South VIC 3044",$550.00 Per Week,House,4,1,-37.7404201,144.9458153,Strathmore Secondary College,1.7 km away,24%,24%,29%,23%,3044
"129 Cumberland Road, Pascoe Vale VIC 3044","$800 PW | $3,476 PCM",House,4,2,-37.7273734,144.9388799,Pascoe Vale Girls Secondary College,1.1 km away,30%,27%,24%,19%,3044
"29 Joffre Road, Pascoe Vale VIC 3044",$750 Weekly,House,4,2,-37.7171973,144.9394307,Pascoe Vale Girls Secondary College,0.4 km away,22%,39%,26%,14%,3044
"103/2 Fortitude Drive, Craigieburn VIC 3064",$445 per week,Apartment,2,1,-37.5914556,144.8891032,Elevation Secondary College,0.7 km away,31%,45%,20%,3%,3064
"9/11-13 Kastura Retreat, Roxburgh Park VIC 3064",$550,Apartment,3,2,-37.6181793,144.9180756,Roxburgh College,1.7 km away,38%,32%,25%,5%,3064
"8 Houghton Ct, Craigieburn VIC 3064",$535 weekly,Apartment,3,2,-37.60132309999999,144.914923,Craigieburn Secondary College,2 km away,36%,28%,30%,6%,3064
"13 Titchfield Road, Donnybrook VIC 3064",$410 Per Week,House,2,1,-37.5488729,144.9658377,,,,,,,3064
"28 Bayano Way, Craigieburn VIC 3064",$470 weekly,House,2,2,-37.5906415,144.9018738,Elevation Secondary College,1.4 km away,25%,47%,24%,4%,3064
"1/21 Cable Circuit, Craigieburn VIC 3064",$510,House,2,1,0.0,0.0,,,,,,,3064
"7 Hanover Way, Mickleham VIC 3064",$480,House,2,2,-37.5258153,144.9006748,,,25%,44%,19%,11%,3064
"26 Acland Street, Craigieburn VIC 3064",$520,House,2,1,-37.5897935,144.9181087,,,27%,42%,27%,4%,3064
"1 Versant Drive, Craigieburn VIC 3064",$530.00 Per Week,House,3,2,-37.5964755,144.8962438,Elevation Secondary College,0.7 km away,31%,45%,20%,3%,3064
"9 Reading Close, Roxburgh Park VIC 3064",$550 Per Week,House,3,2,-37.6377306,144.9296527,Roxburgh College,0.8 km away,34%,29%,26%,12%,3064
"29 Bowenia Avenue, Craigieburn VIC 3064",$520,House,3,2,-37.5756607,144.8960695,,,36%,41%,21%,2%,3064
"86 Hamilton Hume Parade, Craigieburn VIC 3064",$550 Per Week,House,3,1,-37.5793524,144.9350091,,,33%,29%,32%,6%,3064
"7 Nesting Vista, Craigieburn VIC 3064",$530,House,3,2,-37.5665812,144.8972854,,,36%,41%,21%,2%,3064
"15 Bartle way,, Donnybrook VIC 3064",$550 PER WEEK,House,3,1,-37.5457913,145.0155434,Edgars Creek Secondary College,7.9 km away,,,,,3064
"16 Canopus Street, Kalkallo VIC 3064",$520 pw,House,3,2,-37.520888,144.9521281,,,27%,23%,24%,26%,3064
"12 Prentice Court, Roxburgh Park VIC 3064",$580,House,3,2,-37.6283,144.9280088,Roxburgh College,0.3 km away,32%,30%,24%,14%,3064
"28 Eremaea Road, Craigieburn VIC 3064",$575,House,3,2,-37.5760333,144.894133,Elevation Secondary College,2.5 km away,36%,41%,21%,2%,3064
"10 Troidini Entrance, Mickleham VIC 3064",$520,House,3,2,-37.569652,144.8897946,Elevation Secondary College,3.1 km away,31%,36%,24%,9%,3064
"4 Barmah Way, Craigieburn VIC 3064",$490 per week,House,3,2,-37.5838256,144.9148963,,,35%,30%,29%,6%,3064
"87 Wattletree Street, Craigieburn VIC 3064",$530,House,3,2,-37.5777195,144.9026229,,,35%,36%,23%,5%,3064
"7 Vivid Way, Craigieburn VIC 3064",$500 Per week,House,3,2,-37.5919467,144.8895335,Elevation Secondary College,0.7 km away,31%,45%,20%,3%,3064
"11 Rostron Way, Roxburgh Park VIC 3064",$480 Per Week,House,3,1,-37.63051069999999,144.9178937,Roxburgh College,1 km away,34%,31%,30%,6%,3064
"4 Bedford Way, Mickleham VIC 3064",$530 Per Week!!,House,3,2,-37.5320379,144.9093196,,,25%,44%,19%,11%,3064
"8/6-10 Elsternwick Way, Craigieburn VIC 3064",$460,House,3,1,-37.5855665,144.9347675,,,33%,31%,30%,6%,3064
"40 Fadaro Street, Kalkallo VIC 3064",$490 per week!,House,3,2,-37.5316987,144.9673223,,,27%,23%,24%,26%,3064
"25 Tucholsky Dr, Kalkallo VIC 3064",$470 weekly,House,3,2,-37.5186524,144.9570202,,,27%,23%,24%,26%,3064
"14 Hardy Avenue, Craigieburn VIC 3064",$480,House,3,1,-37.6000565,144.9403953,Craigieburn Secondary College,1 km away,20%,32%,28%,21%,3064
"7 Crossdale Green, Craigieburn VIC 3064",$440,House,3,2,-37.5878035,144.9377721,,,33%,31%,30%,6%,3064
